Station,Longitude,Latitude,Contributors,Dino_tot,Aand,Atax,Btep,Bspo,Crug,Iacu,Icas,Ipal,Ipar,Ipat,Isph,Istr,Ipli,Ivel,Ijap,Ivar,Lmac,Mcho,Nlab,Nrig,Oagu,Ocen,Oisr,Ojan,Olon,Ogig,Pzoh,Pret,Smem,Scru,Sdel,Selo,Sram,Sbel,Sben,Sbul,Slaz,Smir,Sgra,Spac,Sspp,Tpel,Pdal,Stri,Imin,Imic,Ibre,Ekar,Bspp,Dubr,Peri,Lspp,Snep,Xxan,Squa,Pnud,Tapp,Tvar,Vcal,Vspi,Pame,Qcon,Psch,Parc,Pkof,Phar,Gymn,Eacu,Egra,Edel,Etra,Ezon,Espp,Sste,Sbif,Cysa,Tvan,Dcha,Bbal,Ppsi,Sant,Ppon,Srob,Pmon,Cmer,Ebis,Oaca,Srei,Tpal,Pgla,Pmin
G041,-61.91,50.11,de vernal et al DB1826,100.00,,,1.51,,,,,,,,,,,,,,,,0.75,,,12.08,,,,,,,,,,2.64,8.68,,,,,,,,1.51,,32.45,,7.17,,,,30.94,,,,,,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G042,-61.90,49.95,de vernal et al DB1826,100.00,,0.88,1.18,,,,,,,,,,,,,,,,2.95,,,11.80,,,,,,,,,,4.13,5.31,,,,,,,,0.59,,26.25,,9.14,,,,36.28,,,,,,1.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G043,-61.87,50.14,de vernal et al DB1826,100.00,,0.37,1.11,,,,,,,,,,,,,,,,1.11,,,7.41,,,,,,,,,,0.74,1.85,,,,,,,,,,18.15,,9.26,,,,60.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G044,-61.84,50.07,de vernal et al DB1826,100.00,,1.20,0.80,,,,,,,,,,,,,,,,2.39,,,8.76,,,,,,,,,,1.99,3.98,,,,,,,,,,17.53,,12.35,,,,50.60,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G045,-61.81,50.12,de vernal et al DB1826,100.00,,,0.24,,,,,,,,,,,,,,,,1.69,,,15.22,,,,,,,,,,2.66,3.14,,,,,,,,2.90,,12.32,,17.15,,,,41.79,,,,,,2.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G046,-61.80,50.10,de vernal et al DB1826,100.00,,0.41,1.24,,,,,,,,,,,,,,,,0.41,,,9.09,,,,,,,,,,4.13,3.72,,,,,,,,,,21.07,,23.14,,,,35.12,,,,,,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G047,-61.60,50.02,de vernal et al DB1826,100.00,,0.28,1.42,,,,,,,,,,,,,,,,1.71,,,12.54,,,,,,,,,,5.41,5.98,,,,,,,,0.85,,27.92,,10.54,,,,31.34,,,,,,1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G048,-61.38,50.08,de vernal et al DB1826,100.00,,0.30,2.38,,,,,,,,,,,,,,,,1.49,,,8.93,,,,,,,,,,2.68,7.44,,,,,,,,0.30,,45.54,,3.27,,,,26.19,,,,,,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G049,-61.34,49.98,de vernal et al DB1826,100.00,,0.65,0.98,,,,,,,,,,,,,,,,4.23,,,14.98,,,,,,,,,,1.95,6.51,,,,,,,,0.65,,35.18,,8.14,,,,24.10,,,,,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G050,-61.32,50.12,de vernal et al DB1826,100.00,,0.27,,,,,,,,,,,,,,,,,2.99,,,8.15,,,,,,,,,,2.45,2.72,,,,,,,,0.54,,28.80,,16.58,,,,36.41,,,,,,1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
